calendarDate,isOpen,prevTradeDate,isWeekEnd,isMonthEnd,isQuarterEnd,isYearEnd
20210101,0,20201231,0,0,0,0
20210102,0,20201231,0,0,0,0
20210103,0,20201231,0,0,0,0
20210104,1,20201231,0,0,0,0
20210105,1,20210104,0,0,0,0
20210106,1,20210105,0,0,0,0
20210107,1,20210106,0,0,0,0
20210108,1,20210107,1,0,0,0
20210109,0,20210108,0,0,0,0
20210110,0,20210108,0,0,0,0
20210111,1,20210108,0,0,0,0
20210112,1,20210111,0,0,0,0
20210113,1,20210112,0,0,0,0
20210114,1,20210113,0,0,0,0
20210115,1,20210114,1,0,0,0
20210116,0,20210115,0,0,0,0
20210117,0,20210115,0,0,0,0
20210118,1,20210115,0,0,0,0
20210119,1,20210118,0,0,0,0
20210120,1,20210119,0,0,0,0
20210121,1,20210120,0,0,0,0
20210122,1,20210121,1,0,0,0
20210123,0,20210122,0,0,0,0
20210124,0,20210122,0,0,0,0
20210125,1,20210122,0,0,0,0
20210126,1,20210125,0,0,0,0
20210127,1,20210126,0,0,0,0
20210128,1,20210127,0,0,0,0
20210129,1,20210128,1,1,0,0
20210130,0,20210129,0,0,0,0
20210131,0,20210129,0,0,0,0
20210201,1,20210129,0,0,0,0
20210202,1,20210201,0,0,0,0
20210203,1,20210202,0,0,0,0
20210204,1,20210203,0,0,0,0
20210205,1,20210204,1,0,0,0
20210206,0,20210205,0,0,0,0
20210207,0,20210205,0,0,0,0
20210208,1,20210205,0,0,0,0
20210209,1,20210208,0,0,0,0
20210210,1,20210209,1,0,0,0
20210211,0,20210210,0,0,0,0
20210212,0,20210210,0,0,0,0
20210213,0,20210210,0,0,0,0
20210214,0,20210210,0,0,0,0
20210215,0,20210210,0,0,0,0
20210216,0,20210210,0,0,0,0
20210217,0,20210210,0,0,0,0
20210218,1,20210210,0,0,0,0
20210219,1,20210218,1,0,0,0
20210220,0,20210219,0,0,0,0
20210221,0,20210219,0,0,0,0
20210222,1,20210219,0,0,0,0
20210223,1,20210222,0,0,0,0
20210224,1,20210223,0,0,0,0
20210225,1,20210224,0,0,0,0
20210226,1,20210225,1,1,0,0
20210227,0,20210226,0,0,0,0
20210228,0,20210226,0,0,0,0
20210301,1,20210226,0,0,0,0
20210302,1,20210301,0,0,0,0
20210303,1,20210302,0,0,0,0
20210304,1,20210303,0,0,0,0
20210305,1,20210304,1,0,0,0
20210306,0,20210305,0,0,0,0
20210307,0,20210305,0,0,0,0
20210308,1,20210305,0,0,0,0
20210309,1,20210308,0,0,0,0
20210310,1,20210309,0,0,0,0
20210311,1,20210310,0,0,0,0
20210312,1,20210311,1,0,0,0
20210313,0,20210312,0,0,0,0
20210314,0,20210312,0,0,0,0
20210315,1,20210312,0,0,0,0
20210316,1,20210315,0,0,0,0
20210317,1,20210316,0,0,0,0
20210318,1,20210317,0,0,0,0
20210319,1,20210318,1,0,0,0
