calendarDate,isOpen,prevTradeDate,isWeekEnd,isMonthEnd,isQuarterEnd,isYearEnd
20190603,1,20190531,0,0,0,0
20190604,1,20190603,0,0,0,0
20190605,1,20190604,0,0,0,0
20190606,1,20190605,1,0,0,0
20190607,0,20190606,0,0,0,0
20190608,0,20190606,0,0,0,0
20190609,0,20190606,0,0,0,0
20190610,1,20190606,0,0,0,0
20190611,1,20190610,0,0,0,0
20190612,1,20190611,0,0,0,0
20190613,1,20190612,0,0,0,0
20190614,1,20190613,1,0,0,0
20190615,0,20190614,0,0,0,0
20190616,0,20190614,0,0,0,0
20190617,1,20190614,0,0,0,0
20190618,1,20190617,0,0,0,0
20190619,1,20190618,0,0,0,0
20190620,1,20190619,0,0,0,0
20190621,1,20190620,1,0,0,0
20190622,0,20190621,0,0,0,0
20190623,0,20190621,0,0,0,0
20190624,1,20190621,0,0,0,0
20190625,1,20190624,0,0,0,0
20190626,1,20190625,0,0,0,0
20190627,1,20190626,0,0,0,0
20190628,1,20190627,1,1,1,0
20190629,0,20190628,0,0,0,0
20190630,0,20190628,0,0,0,0
20190701,1,20190628,0,0,0,0
20190702,1,20190701,0,0,0,0
20190703,1,20190702,0,0,0,0
20190704,1,20190703,0,0,0,0
20190705,1,20190704,1,0,0,0
20190706,0,20190705,0,0,0,0
20190707,0,20190705,0,0,0,0
20190708,1,20190705,0,0,0,0
20190709,1,20190708,0,0,0,0
20190710,1,20190709,0,0,0,0
20190711,1,20190710,0,0,0,0
20190712,1,20190711,1,0,0,0
20190713,0,20190712,0,0,0,0
20190714,0,20190712,0,0,0,0
20190715,1,20190712,0,0,0,0
20190716,1,20190715,0,0,0,0
20190717,1,20190716,0,0,0,0
20190718,1,20190717,0,0,0,0
20190719,1,20190718,1,0,0,0
20190720,0,20190719,0,0,0,0
20190721,0,20190719,0,0,0,0
20190722,1,20190719,0,0,0,0
20190723,1,20190722,0,0,0,0
20190724,1,20190723,0,0,0,0
20190725,1,20190724,0,0,0,0
20190726,1,20190725,1,0,0,0
20190727,0,20190726,0,0,0,0
20190728,0,20190726,0,0,0,0
20190729,1,20190726,0,0,0,0
20190730,1,20190729,0,0,0,0
20190731,1,20190730,0,1,0,0
20190801,1,20190731,0,0,0,0
20190802,1,20190801,1,0,0,0
20190803,0,20190802,0,0,0,0
20190804,0,20190802,0,0,0,0
20190805,1,20190802,0,0,0,0
20190806,1,20190805,0,0,0,0
20190807,1,20190806,0,0,0,0
20190808,1,20190807,0,0,0,0
20190809,1,20190808,1,0,0,0
20190810,0,20190809,0,0,0,0
20190811,0,20190809,0,0,0,0
20190812,1,20190809,0,0,0,0
20190813,1,20190812,0,0,0,0
20190814,1,20190813,0,0,0,0
20190815,1,20190814,0,0,0,0
20190816,1,20190815,1,0,0,0
20190817,0,20190816,0,0,0,0
20190818,0,20190816,0,0,0,0
20190819,1,20190816,0,0,0,0
20190820,1,20190819,0,0,0,0
20190821,1,20190820,0,0,0,0
20190822,1,20190821,0,0,0,0
20190823,1,20190822,1,0,0,0
20190824,0,20190823,0,0,0,0
20190825,0,20190823,0,0,0,0
20190826,1,20190823,0,0,0,0
20190827,1,20190826,0,0,0,0
20190828,1,20190827,0,0,0,0
20190829,1,20190828,0,0,0,0
20190830,1,20190829,1,1,0,0
20190831,0,20190830,0,0,0,0
20190901,0,20190830,0,0,0,0
20190902,1,20190830,0,0,0,0
20190903,1,20190902,0,0,0,0
20190904,1,20190903,0,0,0,0
20190905,1,20190904,0,0,0,0
20190906,1,20190905,1,0,0,0
20190907,0,20190906,0,0,0,0
20190908,0,20190906,0,0,0,0
20190909,1,20190906,0,0,0,0
20190910,1,20190909,0,0,0,0
20190911,1,20190910,0,0,0,0
20190912,1,20190911,1,0,0,0
20190913,0,20190912,0,0,0,0
20190914,0,20190912,0,0,0,0
20190915,0,20190912,0,0,0,0
20190916,1,20190912,0,0,0,0
20190917,1,20190916,0,0,0,0
20190918,1,20190917,0,0,0,0
20190919,1,20190918,0,0,0,0
20190920,1,20190919,1,0,0,0
20190921,0,20190920,0,0,0,0
20190922,0,20190920,0,0,0,0
20190923,1,20190920,0,0,0,0
20190924,1,20190923,0,0,0,0
20190925,1,20190924,0,0,0,0
20190926,1,20190925,0,0,0,0
20190927,1,20190926,1,0,0,0
20190928,0,20190927,0,0,0,0
20190929,0,20190927,0,0,0,0
20190930,1,20190927,1,1,1,0
20191001,0,20190930,0,0,0,0
20191002,0,20190930,0,0,0,0
20191003,0,20190930,0,0,0,0
20191004,0,20190930,0,0,0,0
20191005,0,20190930,0,0,0,0
20191006,0,20190930,0,0,0,0
20191007,0,20190930,0,0,0,0
20191008,1,20190930,0,0,0,0
20191009,1,20191008,0,0,0,0
20191010,1,20191009,0,0,0,0
20191011,1,20191010,1,0,0,0
20191012,0,20191011,0,0,0,0
20191013,0,20191011,0,0,0,0
20191014,1,20191011,0,0,0,0
20191015,1,20191014,0,0,0,0
20191016,1,20191015,0,0,0,0
20191017,1,20191016,0,0,0,0
20191018,1,20191017,1,0,0,0
20191019,0,20191018,0,0,0,0
20191020,0,20191018,0,0,0,0
20191021,1,20191018,0,0,0,0
20191022,1,20191021,0,0,0,0
20191023,1,20191022,0,0,0,0
20191024,1,20191023,0,0,0,0
20191025,1,20191024,1,0,0,0
20191026,0,20191025,0,0,0,0
20191027,0,20191025,0,0,0,0
20191028,1,20191025,0,0,0,0
20191029,1,20191028,0,0,0,0
20191030,1,20191029,0,0,0,0
20191031,1,20191030,0,1,0,0
20191101,1,20191031,1,0,0,0
20191102,0,20191101,0,0,0,0
20191103,0,20191101,0,0,0,0
20191104,1,20191101,0,0,0,0
20191105,1,20191104,0,0,0,0
20191106,1,20191105,0,0,0,0
20191107,1,20191106,0,0,0,0
20191108,1,20191107,1,0,0,0
20191109,0,20191108,0,0,0,0
20191110,0,20191108,0,0,0,0
20191111,1,20191108,0,0,0,0
20191112,1,20191111,0,0,0,0
20191113,1,20191112,0,0,0,0
20191114,1,20191113,0,0,0,0
